Rpa;Tipo_cod;Tipo;Cod_escola;Escola;Inep;Rua;Numero;Cod_bairro;Bairro;Metragem;Qtd_alunos;Qtd_turmas;Qtd_professores;Escola_climatizada;Data_visita;Quadra_coberta;Quadra_descoberta;Biblioteca;Sala_recurso;Gestor;Longitude;Latitude;Região
1;1;Escola Municipal;90;Almirante Soares Dutra;26120658.0;Camutanga;180;51;Cabanga;764,3;429;18;13;Sim;27/02/2018;Não;Não;Sim;Sim;Veronica Maria Lima;-34.895;-8.0789;Centro
1;1;Escola Municipal;289;Cidadao Herbert De Souza;26121972.0;Arnobio Marques;310;108;Santo Amaro;206;163;12;11;Nâo;;Não;Não;Não;Sim;Ana Claudia Do Nascimento Silva;-34.887;-8.0457;Centro
1;1;Escola Municipal;256;Do Coque;26122898.0;Mirandopolis;35;43;Ilha Joana Bezerra;840,5;622;26;18;Nâo;;Não;Não;Sim;Sim;Grijalba Maria Pessoa;-34.9;-8.0714;Centro
1;1;Escola Municipal;91;Dos Coelhos;26118670.0;Dos Coelhos;591;60;Coelhos;1322;730;35;24;Nâo;;Não;Não;Sim;Sim;Francisca Angela Da Silva;-34.89;-8.0687;Centro
1;1;Escola Municipal;384;Frei Tadeu Glaser;26175347.0;Agamenon Magalhaes;600;108;Santo Amaro;398,4;130;8;7;Nâo;19/04/2017;Não;Não;Sim;Sim;Christianne Maria Dos Santos Cavalcanti;-34.878;-8.04;Centro
1;1;Escola Municipal;104;General Emidio Dantas Barreto;26121980.0;Da Saudade;303;108;Santo Amaro;1402,1;234;16;12;Nâo;;Não;Sim;Sim;Sim;Rejane Moura De Matos Novais Rocha;-34.883;-8.0508;Centro
1;1;Escola Municipal;282;Lutadores Do Bem;26121913.0;Coronel Virgilio De Medeiros;269;108;Santo Amaro;455,2;316;17;14;Nâo;;Não;Não;Sim;Sim;Josane Patricio Saldanha;-34.877;-8.0439;Centro
1;1;Escola Municipal;312;Nossa Senhora Do Pilar;26147300.0;Alfredo Lisboa;S/N;19;Recife;712,3;144;14;13;Nâo;;Não;Sim;Sim;Sim;Renata Rossy Noblat Fraga;-34.869;-8.0579;Centro
1;1;Escola Municipal;922;Novo Mangue;26158400.0;Avenida Central;511;43;Ilha Joana Bezerra;1010,7;359;17;13;Nâo;;Não;Sim;Sim;Sim;Raimunda Pinheiro De Queiroz;-34.903;-8.0751;Centro
1;1;Escola Municipal;66;Pedro Augusto;26121468.0;Barao De Sao Borja;279;86;Boa Vista;2245,5;316;13;14;Sim;;Sim;Não;Sim;Sim;Josenide Matias Pinheiro De Freitas;-34.89;-8.0605;Centro
1;1;Escola Municipal;4;Professor Jose Da Costa Porto;26121255.0;Cabo Eutropio;660;43;Ilha Joana Bezerra;1454,4;879;33;30;Nâo;06/06/2017;Sim;Não;Sim;Sim;Selme De Figueiroa Faria;-34.9;-8.0719;Centro
1;1;Escola Municipal;935;Professor Josue De Castro;26167891.0;Martin Luther King;368;43;Ilha Joana Bezerra;388;253;14;10;Nâo;;Não;Não;Não;Não;Marcia Claudia Matias Da Silva;-34.899;-8.0695;Centro
1;1;Escola Municipal;1;Reitor Joao Alfredo;26121786.0;Senador Jose Henrique;160;78;Ilha Do Leite;1832;322;13;14;Nâo;;Sim;Não;Sim;Sim;Marilia Oliveira Silva;-34.895;-8.065;Centro
1;1;Escola Municipal;189;Santo Amaro;26134379.0;Norte;570;108;Santo Amaro;258,8;446;25;17;Nâo;;Não;Não;Sim;Sim;Angelica Maria De Albuquerque Macedo;-34.877;-8.0465;Centro
1;1;Escola Municipal;93;Sede Da Sabedoria;26122014.0;Artemis;30;108;Santo Amaro;1188,8;464;22;17;Nâo;19/04/2017;Não;Não;Sim;Sim;Maria De Fatima Sena De Alencar;-34.876;-8.0401;Centro
1;1;Escola Municipal;95;Sitio Do Ceu;26136269.0;Anchieta;85;108;Santo Amaro;238,7;195;13;7;Sim;19/04/2017;Não;Não;Não;Sim;Viviane Cristina De Lima Freitas;-34.88;-8.0413;Centro
1;1;Escola Municipal;442;Soldado Jose Antonio Do Nascimento Boa Vista;26123304.0;Benfica;86;86;Boa Vista;668;147;12;9;Sim;;Não;Não;Não;Sim;Margarete Maria De Barros Ribeiro;-34.901;-8.0601;Centro
1;2;Creche Municipal;504;Professor Francisco Do Amaral Lopes;26158701.0;Agamenon Magalhaes;S/N;108;Santo Amaro;440,8;155;8;8;Nâo;25/04/2017;Não;Não;Não;Não;Eliane Rodrigues Da Silva;-34.888;-8.0451;Centro
1;2;Creche Municipal;503;Sao Domingos Savio;26149753.0;Dos Casados;164;108;Santo Amaro;124,8;31;2;2;Nâo;;Não;Não;Não;Não;Patricia De Morais Teixeira;-34.874;-8.0398;Centro
1;2;Creche Municipal;502;Vovo Artur;26149818.0;Beira Rio;S/N;60;Coelhos;644,7;163;9;7;Nâo;;Não;Não;Não;Não;Josilene Nascimento Da Conceicao;-34.891;-8.069;Centro
1;5;Cmei;415;Ana Rosa Falcao De Carvalho;26122022.0;Joao Lyra;S/N;108;Santo Amaro;1878,9;231;12;14;Sim;25/04/2017;Sim;Não;Sim;Sim;Rita De Cassia Cavalcanti;-34.88;-8.0561;Centro
1;5;Cmei;426;Coelhinho Pensante;26419742.0;Fatima Teixeira;S/N;108;Santo Amaro;330,4;86;7;7;Nâo;;Não;Não;Sim;Não;Viviane Menezes Da Silva;-34.878;-8.0427;Centro
1;5;Cmei;425;Doutor Alberico Dornelas Camara;26443716.0;Cais Do Apolo;925;19;Recife;1398,8;109;6;6;Nâo;;Não;Não;Não;Não;Ana Cristina Teixeira Campelo;-34.872;-8.0542;Centro
1;5;Cmei;501;Maezinha Do Coque;26149931.0;Guapirama;S/N;43;Ilha Joana Bezerra;671,3;141;7;7;Sim;;Não;Não;Sim;Não;Teresa Cristina Vasconcelos Esteves Paredes;-34.9;-8.0718;Centro
1;8;Creche Esc.Recife;119;Creche Escola Deputado Alcides Teixeira;26191679.0;;1193;108;Santo Amaro;;247;11;10;Nâo;;Não;Não;Sim;Não;Rosangela Batista De Albuquerque;;;Centro
1;8;Creche Esc.Recife;495;Do Pilar;26190818.0;Rua Do Ocidente;S/N;19;Recife;;126;6;5;Nâo;;Não;Não;Não;Não;Roberta Karolina Vasconcelos De Araujo;-34.869;-8.0568;Centro
1;8;Creche Esc.Recife;35;Porto Digital Do Recife;26190060.0;;50;19;Recife;;89;5;4;Nâo;;Não;Não;Não;Não;Cristiane Goncalves Pereira;-34.872;-8.0645;Centro
1;8;Creche Esc.Recife;497;Sergio Loreto;26190575.0;Rua Do Muniz;S/N;35;Sao Jose;;102;5;4;Nâo;;Não;Não;Sim;Sim;Taciana Cristina Dos Santos;-34.885;-8.0711;Centro
2;1;Escola Municipal;111;Alda Romeu;26128110.0;Corrego Do Deodato;685;337;Agua Fria;1182,8;361;17;12;Nâo;;Não;Não;Sim;Sim;Georgia Cristina Pereira De Mello;-34.9;-8.0136;Norte
2;1;Escola Municipal;187;Alto Do Maracana;26136300.0;Vila Flor;356;396;Dois Unidos;721,9;435;24;13;Nâo;;Não;Não;Não;Sim;Renata Barbosa Rodrigues Da Cunha;-34.909;-8.0025;Norte
2;1;Escola Municipal;321;Alto Do Pascoal;26166593.0;Ladeira De Pedra;1265;337;Agua Fria;176,6;490;26;19;Nâo;23/05/2017;Não;Sim;Sim;Sim;Rosana Gomes Martins;-34.902;-8.0147;Norte
2;1;Escola Municipal;237;Alto Santa Terezinha;26139723.0;Anibal Benevolo;Sn;370;Beberibe;1004,3;579;32;19;Sim;;Não;Não;Sim;Sim;Maria Jose De Moura Silva Albuquerque;-34.902;-8.0098;Norte
2;1;Escola Municipal;54;Ana Mauricia Wanderley;26128764.0;Joao Uzeda Luna;813;337;Agua Fria;495,1;233;10;6;Nâo;;Não;Não;Não;Sim;Divane Maria Campos Lucena;-34.896;-8.0179;Norte
2;1;Escola Municipal;258;Anita Paes Barreto;26128926.0;Geroncio Falcao;198;345;Fundao;134;112;6;4;Nâo;01/06/2017;Não;Não;Não;Sim;Sandra De Oliveira Anacleto Santos;-34.887;-8.0149;Norte
2;1;Escola Municipal;7;Antonio Heraclio Do Rego;26128640.0;Manoel Silva;134;337;Agua Fria;4366;508;19;21;Sim;17/04/2017;Sim;Não;Sim;Sim;Jose Ronaldo Candido Da Silva;-34.889;-8.0185;Norte
2;1;Escola Municipal;86;Antonio Luiz;26128659.0;Sao Joao Batista;134;337;Agua Fria;142,7;83;7;5;Sim;17/04/2017;Não;Não;Não;Não;Paula Prigida Oliveira Da Costa Nascimento;-34.885;-8.0178;Norte
2;1;Escola Municipal;458;Antonio Luiz - Anexo I;26128659.0;Das Mocas;1470;337;Agua Fria;;50;4;4;Nâo;;Não;Não;Sim;Não;;-34.884;-8.0186;Norte
2;1;Escola Municipal;44;Antonio Tiburcio;26128772.0;Tamboara;356;949;Alto Santa Terezinha;288,8;155;10;8;Nâo;;Não;Não;Sim;Não;Cintia De Melo Silva;-34.905;-8.0182;Norte
2;1;Escola Municipal;924;Campina Do Barreto;26166623.0;Virgilio De Melo Franco;28;353;Cajueiro;851,1;321;16;14;Nâo;01/06/2017;Não;Não;Sim;Sim;Waldira Moreno Da Silva Menezes;-34.886;-8.0095;Norte
2;1;Escola Municipal;400;Compositor Capiba;26212200.0;Professor Othon Paraiso;375;272;Torreao;379,4;143;8;6;Sim;;Não;Não;Não;Sim;Maria Cristina Da Silva;-34.883;-8.0375;Norte
2;1;Escola Municipal;61;Compositor Levino Ferreira;26128780.0;Corrego Jose Grande;1441;540;Alto Jose Bonifacio;379;212;12;8;Sim;;Não;Não;Sim;Sim;Ana Maria Santos Duarte;-34.909;-8.0142;Noroeste
2;1;Escola Municipal;999;Creche Escola Municipal Joao Amazonas;26171724.0;Da Bela Vista;284;396;Dois Unidos;341,4;134;8;7;Nâo;;Não;Não;Não;Não;Maria Angelica Batista Da Silva Oliveira;-34.906;-8.0023;Norte
2;1;Escola Municipal;923;De Agua Fria;26166640.0;Dos Craveiros;500;310;Campina Do Barreto;202;111;8;6;Nâo;09/02/2017;Não;Não;Sim;Sim;Disciola Alves Do Nascimento;-34.881;-8.0129;Norte
2;1;Escola Municipal;493;De Agua Fria - Anexo;26166640.0;Olimpio Torres;S/N;310;Campina Do Barreto;;145;9;5;Nâo;;Não;Não;Sim;Não;;-34.883;-8.0163;Norte
2;1;Escola Municipal;936;De Beberibe;26166607.0;Melanio De Barros Correia;25;370;Beberibe;261,1;149;8;8;Sim;;Não;Não;Sim;Sim;Leda Maria Da Silva Araujo;-34.898;-8.0033;Norte
2;1;Escola Municipal;176;Deus E Amor;26128888.0;Ladeira De Pedra;395;337;Agua Fria;189,8;97;6;4;Sim;11/12/2017;Não;Não;Não;Não;Maria Souto Maior Bezerra Cavalcanti Dos Guimaraes Peixoto;-34.898;-8.0182;Norte
2;1;Escola Municipal;960;Deus E Amor - Anexo I;26128888.0;Manoel Lopes;Sn;337;Agua Fria;;60;4;2;Nâo;;Não;Não;Não;Não;;-34.897;-8.0174;Norte
2;1;Escola Municipal;949;Engenheiro Edinaldo Miranda De Oliveira;26166631.0;Inacio Galvao Dos Santos;304;175;Encruzilhada;189,8;184;12;11;Nâo;;Não;Não;Não;Não;Ana Paula Araujo Nascimento;-34.892;-8.0347;Norte
