Rpa;Tipo_cod;Tipo;Cod_escola;Escola;Inep;Rua;Numero;Cod_bairro;Bairro;Metragem;Qtd_alunos;Qtd_turmas;Qtd_professores;Escola_climatizada;Data_visita;Quadra_coberta;Quadra_descoberta;Biblioteca;Sala_recurso;Gestor;Longitude;Latitude;Região
1;1;ESCOLA MUNICIPAL;90;ALMIRANTE SOARES DUTRA;26120658.0;CAMUTANGA;180;51;CABANGA;764,3;429;18;13;SIM;27/02/2018;NÃO;NÃO;SIM;SIM;VERONICA MARIA LIMA;-34.895;-8.0789;Centro
1;1;ESCOLA MUNICIPAL;289;CIDADAO HERBERT DE SOUZA;26121972.0;ARNOBIO MARQUES;310;108;SANTO AMARO;206;163;12;11;NÂO;;NÃO;NÃO;NÃO;SIM;ANA CLAUDIA DO NASCIMENTO SILVA;-34.887;-8.0457;Centro
1;1;ESCOLA MUNICIPAL;256;DO COQUE;26122898.0;MIRANDOPOLIS;35;43;ILHA JOANA BEZERRA;840,5;622;26;18;NÂO;;NÃO;NÃO;SIM;SIM;GRIJALBA MARIA PESSOA;-34.9;-8.0714;Centro
1;1;ESCOLA MUNICIPAL;91;DOS COELHOS;26118670.0;DOS COELHOS;591;60;COELHOS;1322;730;35;24;NÂO;;NÃO;NÃO;SIM;SIM;FRANCISCA ANGELA DA SILVA;-34.89;-8.0687;Centro
1;1;ESCOLA MUNICIPAL;384;FREI TADEU GLASER;26175347.0;AGAMENON MAGALHAES;600;108;SANTO AMARO;398,4;130;8;7;NÂO;19/04/2017;NÃO;NÃO;SIM;SIM;CHRISTIANNE MARIA DOS SANTOS CAVALCANTI;-34.878;-8.04;Centro
1;1;ESCOLA MUNICIPAL;104;GENERAL EMIDIO DANTAS BARRETO;26121980.0;DA SAUDADE;303;108;SANTO AMARO;1402,1;234;16;12;NÂO;;NÃO;SIM;SIM;SIM;REJANE MOURA DE MATOS NOVAIS ROCHA;-34.883;-8.0508;Centro
1;1;ESCOLA MUNICIPAL;282;LUTADORES DO BEM;26121913.0;CORONEL VIRGILIO DE MEDEIROS;269;108;SANTO AMARO;455,2;316;17;14;NÂO;;NÃO;NÃO;SIM;SIM;JOSANE PATRICIO SALDANHA;-34.877;-8.0439;Centro
1;1;ESCOLA MUNICIPAL;312;NOSSA SENHORA DO PILAR;26147300.0;ALFREDO LISBOA;S/N;19;RECIFE;712,3;144;14;13;NÂO;;NÃO;SIM;SIM;SIM;RENATA ROSSY NOBLAT FRAGA;-34.869;-8.0579;Centro
1;1;ESCOLA MUNICIPAL;922;NOVO MANGUE;26158400.0;AVENIDA CENTRAL;511;43;ILHA JOANA BEZERRA;1010,7;359;17;13;NÂO;;NÃO;SIM;SIM;SIM;RAIMUNDA PINHEIRO DE QUEIROZ;-34.903;-8.0751;Centro
1;1;ESCOLA MUNICIPAL;66;PEDRO AUGUSTO;26121468.0;BARAO DE SAO BORJA;279;86;BOA VISTA;2245,5;316;13;14;SIM;;SIM;NÃO;SIM;SIM;JOSENIDE MATIAS PINHEIRO DE FREITAS;-34.89;-8.0605;Centro
1;1;ESCOLA MUNICIPAL;4;PROFESSOR JOSE DA COSTA PORTO;26121255.0;CABO EUTROPIO;660;43;ILHA JOANA BEZERRA;1454,4;879;33;30;NÂO;06/06/2017;SIM;NÃO;SIM;SIM;SELME DE FIGUEIROA FARIA;-34.9;-8.0719;Centro
1;1;ESCOLA MUNICIPAL;935;PROFESSOR JOSUE DE CASTRO;26167891.0;MARTIN LUTHER KING;368;43;ILHA JOANA BEZERRA;388;253;14;10;NÂO;;NÃO;NÃO;NÃO;NÃO;MARCIA CLAUDIA MATIAS DA SILVA;-34.899;-8.0695;Centro
1;1;ESCOLA MUNICIPAL;1;REITOR JOAO ALFREDO;26121786.0;SENADOR JOSE HENRIQUE;160;78;ILHA DO LEITE;1832;322;13;14;NÂO;;SIM;NÃO;SIM;SIM;MARILIA OLIVEIRA SILVA;-34.895;-8.065;Centro
1;1;ESCOLA MUNICIPAL;189;SANTO AMARO;26134379.0;NORTE;570;108;SANTO AMARO;258,8;446;25;17;NÂO;;NÃO;NÃO;SIM;SIM;ANGELICA MARIA DE ALBUQUERQUE MACEDO;-34.877;-8.0465;Centro
1;1;ESCOLA MUNICIPAL;93;SEDE DA SABEDORIA;26122014.0;ARTEMIS;30;108;SANTO AMARO;1188,8;464;22;17;NÂO;19/04/2017;NÃO;NÃO;SIM;SIM;MARIA DE FATIMA SENA DE ALENCAR;-34.876;-8.0401;Centro
1;1;ESCOLA MUNICIPAL;95;SITIO DO CEU;26136269.0;ANCHIETA;85;108;SANTO AMARO;238,7;195;13;7;SIM;19/04/2017;NÃO;NÃO;NÃO;SIM;VIVIANE CRISTINA DE LIMA FREITAS;-34.88;-8.0413;Centro
1;1;ESCOLA MUNICIPAL;442;SOLDADO JOSE ANTONIO DO NASCIMENTO BOA VISTA;26123304.0;BENFICA;86;86;BOA VISTA;668;147;12;9;SIM;;NÃO;NÃO;NÃO;SIM;MARGARETE MARIA DE BARROS RIBEIRO;-34.901;-8.0601;Centro
1;2;CRECHE MUNICIPAL;504;PROFESSOR FRANCISCO DO AMARAL LOPES;26158701.0;AGAMENON MAGALHAES;S/N;108;SANTO AMARO;440,8;155;8;8;NÂO;25/04/2017;NÃO;NÃO;NÃO;NÃO;ELIANE RODRIGUES DA SILVA;-34.888;-8.0451;Centro
1;2;CRECHE MUNICIPAL;503;SAO DOMINGOS SAVIO;26149753.0;DOS CASADOS;164;108;SANTO AMARO;124,8;31;2;2;NÂO;;NÃO;NÃO;NÃO;NÃO;PATRICIA DE MORAIS TEIXEIRA;-34.874;-8.0398;Centro
1;2;CRECHE MUNICIPAL;502;VOVO ARTUR;26149818.0;BEIRA RIO;S/N;60;COELHOS;644,7;163;9;7;NÂO;;NÃO;NÃO;NÃO;NÃO;JOSILENE NASCIMENTO DA CONCEICAO;-34.891;-8.069;Centro
1;5;CMEI;415;ANA ROSA FALCAO DE CARVALHO;26122022.0;JOAO LYRA;S/N;108;SANTO AMARO;1878,9;231;12;14;SIM;25/04/2017;SIM;NÃO;SIM;SIM;RITA DE CASSIA CAVALCANTI;-34.88;-8.0561;Centro
1;5;CMEI;426;COELHINHO PENSANTE;26419742.0;FATIMA TEIXEIRA;S/N;108;SANTO AMARO;330,4;86;7;7;NÂO;;NÃO;NÃO;SIM;NÃO;VIVIANE MENEZES DA SILVA;-34.878;-8.0427;Centro
1;5;CMEI;425;DOUTOR ALBERICO DORNELAS CAMARA;26443716.0;CAIS DO APOLO;925;19;RECIFE;1398,8;109;6;6;NÂO;;NÃO;NÃO;NÃO;NÃO;ANA CRISTINA TEIXEIRA CAMPELO;-34.872;-8.0542;Centro
1;5;CMEI;501;MAEZINHA DO COQUE;26149931.0;GUAPIRAMA;S/N;43;ILHA JOANA BEZERRA;671,3;141;7;7;SIM;;NÃO;NÃO;SIM;NÃO;TERESA CRISTINA VASCONCELOS ESTEVES PAREDES;-34.9;-8.0718;Centro
1;8;CRECHE ESC.RECIFE;119;CRECHE ESCOLA DEPUTADO ALCIDES TEIXEIRA;26191679.0;;1193;108;SANTO AMARO;;247;11;10;NÂO;;NÃO;NÃO;SIM;NÃO;ROSANGELA BATISTA DE ALBUQUERQUE;;;Centro
1;8;CRECHE ESC.RECIFE;495;DO PILAR;26190818.0;RUA DO OCIDENTE;S/N;19;RECIFE;;126;6;5;NÂO;;NÃO;NÃO;NÃO;NÃO;ROBERTA KAROLINA VASCONCELOS DE ARAUJO;-34.869;-8.0568;Centro
1;8;CRECHE ESC.RECIFE;35;PORTO DIGITAL DO RECIFE;26190060.0;;50;19;RECIFE;;89;5;4;NÂO;;NÃO;NÃO;NÃO;NÃO;CRISTIANE GONCALVES PEREIRA;-34.872;-8.0645;Centro
1;8;CRECHE ESC.RECIFE;497;SERGIO LORETO;26190575.0;RUA DO MUNIZ;S/N;35;SAO JOSE;;102;5;4;NÂO;;NÃO;NÃO;SIM;SIM;TACIANA CRISTINA DOS SANTOS;-34.885;-8.0711;Centro
2;1;ESCOLA MUNICIPAL;111;ALDA ROMEU;26128110.0;CORREGO DO DEODATO;685;337;AGUA FRIA;1182,8;361;17;12;NÂO;;NÃO;NÃO;SIM;SIM;GEORGIA CRISTINA PEREIRA DE MELLO;-34.9;-8.0136;Norte
2;1;ESCOLA MUNICIPAL;187;ALTO DO MARACANA;26136300.0;VILA FLOR;356;396;DOIS UNIDOS;721,9;435;24;13;NÂO;;NÃO;NÃO;NÃO;SIM;RENATA BARBOSA RODRIGUES DA CUNHA;-34.909;-8.0025;Norte
2;1;ESCOLA MUNICIPAL;321;ALTO DO PASCOAL;26166593.0;LADEIRA DE PEDRA;1265;337;AGUA FRIA;176,6;490;26;19;NÂO;23/05/2017;NÃO;SIM;SIM;SIM;ROSANA GOMES MARTINS;-34.902;-8.0147;Norte
2;1;ESCOLA MUNICIPAL;237;ALTO SANTA TEREZINHA;26139723.0;ANIBAL BENEVOLO;SN;370;BEBERIBE;1004,3;579;32;19;SIM;;NÃO;NÃO;SIM;SIM;MARIA JOSE DE MOURA SILVA ALBUQUERQUE;-34.902;-8.0098;Norte
2;1;ESCOLA MUNICIPAL;54;ANA MAURICIA WANDERLEY;26128764.0;JOAO UZEDA LUNA;813;337;AGUA FRIA;495,1;233;10;6;NÂO;;NÃO;NÃO;NÃO;SIM;DIVANE MARIA CAMPOS LUCENA;-34.896;-8.0179;Norte
2;1;ESCOLA MUNICIPAL;258;ANITA PAES BARRETO;26128926.0;GERONCIO FALCAO;198;345;FUNDAO;134;112;6;4;NÂO;01/06/2017;NÃO;NÃO;NÃO;SIM;SANDRA DE OLIVEIRA ANACLETO SANTOS;-34.887;-8.0149;Norte
2;1;ESCOLA MUNICIPAL;7;ANTONIO HERACLIO DO REGO;26128640.0;MANOEL SILVA;134;337;AGUA FRIA;4366;508;19;21;SIM;17/04/2017;SIM;NÃO;SIM;SIM;JOSE RONALDO CANDIDO DA SILVA;-34.889;-8.0185;Norte
2;1;ESCOLA MUNICIPAL;86;ANTONIO LUIZ;26128659.0;SAO JOAO BATISTA;134;337;AGUA FRIA;142,7;83;7;5;SIM;17/04/2017;NÃO;NÃO;NÃO;NÃO;PAULA PRIGIDA OLIVEIRA DA COSTA NASCIMENTO;-34.885;-8.0178;Norte
2;1;ESCOLA MUNICIPAL;458;ANTONIO LUIZ - ANEXO I;26128659.0;DAS MOCAS;1470;337;AGUA FRIA;;50;4;4;NÂO;;NÃO;NÃO;SIM;NÃO;;-34.884;-8.0186;Norte
2;1;ESCOLA MUNICIPAL;44;ANTONIO TIBURCIO;26128772.0;TAMBOARA;356;949;ALTO SANTA TEREZINHA;288,8;155;10;8;NÂO;;NÃO;NÃO;SIM;NÃO;CINTIA DE MELO SILVA;-34.905;-8.0182;Norte
2;1;ESCOLA MUNICIPAL;924;CAMPINA DO BARRETO;26166623.0;VIRGILIO DE MELO FRANCO;28;353;CAJUEIRO;851,1;321;16;14;NÂO;01/06/2017;NÃO;NÃO;SIM;SIM;WALDIRA MORENO DA SILVA MENEZES;-34.886;-8.0095;Norte
2;1;ESCOLA MUNICIPAL;400;COMPOSITOR CAPIBA;26212200.0;PROFESSOR OTHON PARAISO;375;272;TORREAO;379,4;143;8;6;SIM;;NÃO;NÃO;NÃO;SIM;MARIA CRISTINA DA SILVA;-34.883;-8.0375;Norte
